RGI region,# total,ALASKA,ARCTICDEM,ASTER,AW3D30,COPDEM30,COPDEM90,DEM3,GIMP,MAPZEN,NASADEM,RAMP,REMA,SRTM,TANDEM
17-01: Patagonia,9434,--,--,99%,99%,99%,99%,99%,--,100%,99%,--,--,99%,99%
17-02: C Andes,6474,--,--,100%,100%,100%,100%,100%,--,100%,100%,--,--,100%,98%
