RGI region,# total,ALASKA,ARCTICDEM,ASTER,AW3D30,COPDEM,DEM3,GIMP,MAPZEN,NASADEM,RAMP,REMA,SRTM,TANDEM
16-01: Low-latitude Andes,2891,--,--,100%,100%,100%,100%,--,100%,100%,--,--,100%,99%
16-02: Mexico,7,--,--,100%,100%,100%,100%,--,100%,100%,--,--,100%,100%
16-03: E Africa,36,--,--,100%,100%,100%,100%,--,100%,100%,--,--,100%,100%
16-04: New Guinea,5,--,--,100%,100%,100%,100%,--,100%,100%,--,--,100%,100%
