RGI region,# total,ALASKA,ARCTICDEM,ASTER,AW3D30,COPDEM,DEM3,GIMP,MAPZEN,NASADEM,RAMP,REMA,SRTM,TANDEM
08-01: N Scandinavia,1837,--,95%,100%,31%,100%,100%,--,100%,--,--,--,--,100%
08-02: SW Scandinavia,1215,--,88%,100%,14%,100%,100%,--,100%,3%,--,--,3%,100%
08-03: SE Scandinavia,365,--,84%,100%,19%,100%,100%,--,100%,8%,--,--,8%,100%
