RGI region,# total,ALASKA,ARCTICDEM,ASTER,AW3D30,COPDEM,DEM3,GIMP,MAPZEN,NASADEM,RAMP,REMA,SRTM,TANDEM
04-01: Bylot Island,455,--,99%,100%,68%,100%,100%,--,100%,--,--,--,--,100%
04-02: W Baffin Island,71,--,100%,100%,63%,100%,100%,--,100%,--,--,--,--,100%
04-03: N Baffin Island,277,--,99%,100%,73%,100%,100%,--,100%,--,--,--,--,100%
04-04: NE Baffin Island,1442,--,98%,100%,47%,100%,100%,--,100%,--,--,--,--,100%
04-05: EC Baffin Island,1645,--,97%,100%,35%,100%,100%,--,100%,--,--,--,--,100%
04-06: SE Baffin Island,2249,--,98%,100%,42%,100%,95%,--,100%,--,--,--,--,100%
04-07: Cumberland Sound,1108,--,99%,100%,36%,100%,100%,--,100%,--,--,--,--,100%
04-08: Frobisher Bay,65,--,100%,100%,66%,100%,100%,--,100%,--,--,--,--,100%
04-09: Labrador,103,--,--,100%,100%,100%,100%,--,100%,100%,--,--,100%,100%
