RGI region,# total,ALASKA,ARCTICDEM,ASTER,AW3D30,COPDEM30,COPDEM90,DEM3,GIMP,MAPZEN,NASADEM,RAMP,REMA,SRTM,TANDEM
12-01: Caucasus and Middle East,1637,--,--,100%,100%,95%,100%,100%,--,100%,100%,--,--,100%,98%
12-02: Middle East,251,--,--,100%,100%,97%,100%,100%,--,100%,100%,--,--,100%,96%
