RGI region,# total,ALASKA,ARCTICDEM,ASTER,AW3D30,COPDEM30,COPDEM90,DEM3,GIMP,MAPZEN,NASADEM,RAMP,REMA,SRTM,TANDEM
10-01: Ural Mountains,161,--,88%,100%,53%,100%,100%,100%,--,100%,--,--,--,--,100%
10-02: Central Siberia,394,--,80%,100%,61%,100%,100%,100%,--,100%,19%,--,--,19%,100%
10-03: Cherskiy/Suntar Khayata Ranges,426,--,91%,99%,61%,99%,99%,99%,--,100%,--,--,--,--,100%
10-04: Altay and Sayan,2437,--,--,100%,100%,100%,100%,100%,--,100%,100%,--,--,100%,100%
10-05: NE Russia,1660,--,96%,99%,79%,99%,99%,99%,--,99%,65%,--,--,59%,100%
10-06: E Chukotka,73,--,97%,100%,60%,100%,100%,100%,--,100%,--,--,--,--,100%
