RGI region,# total,ARCTICDEM,ASTER,AW3D30,DEM3,GIMP,MAPZEN,RAMP,REMA,SRTM,TANDEM
10-01: Ural Mountains,161,88%,100%,53%,100%,--,100%,--,--,--,100%
10-02: Central Siberia,481,83%,98%,50%,99%,--,99%,--,--,15%,100%
10-03: Cherskiy/Suntar Khayata Ranges,447,91%,100%,58%,100%,--,100%,--,--,--,100%
10-04: Altay and Sayan,2437,--,100%,100%,100%,--,100%,--,--,100%,100%
10-05: NE Russia,1581,96%,100%,83%,100%,--,100%,--,--,62%,100%
10-06: E Chukotka,44,95%,100%,97%,100%,--,100%,--,--,--,100%
