RGI region,# total,ARCTICDEM,ASTER,AW3D30,DEM3,GIMP,MAPZEN,RAMP,REMA,SRTM,TANDEM
01-01: N Alaska,616,94%,100%,81%,100%,--,100%,--,--,--,100%
01-02: Alaska Ra (Wrangell/Kilbuck),5780,81%,100%,67%,100%,--,100%,--,--,2%,99%
01-03: Alaska Pena (Aleutians),872,87%,100%,100%,100%,--,100%,--,--,100%,100%
01-04: W Chugach Mtns (Talkeetna),4258,90%,100%,54%,100%,--,100%,--,--,10%,100%
01-05: St Elias Mtns,5031,86%,100%,54%,100%,--,100%,--,--,19%,100%
01-06: N Coast Ranges,10551,59%,100%,99%,100%,--,100%,--,--,98%,98%
