RGI region,# total,ALASKA,ARCTICDEM,ASTER,AW3D30,COPDEM,DEM3,GIMP,MAPZEN,NASADEM,RAMP,REMA,SRTM,TANDEM
14-01: Hindu Kush,4401,--,--,100%,100%,100%,100%,--,100%,100%,--,--,100%,95%
14-02: Karakoram,13757,--,--,100%,100%,100%,100%,--,100%,100%,--,--,100%,94%
14-03: W Himalaya,9830,--,--,100%,100%,100%,100%,--,100%,100%,--,--,100%,97%
