RGI region,# total,ALASKA,ARCTICDEM,ASTER,AW3D30,COPDEM30,COPDEM90,DEM3,GIMP,MAPZEN,NASADEM,RAMP,REMA,SRTM,TANDEM
15-01: C Himalaya,4528,--,--,100%,100%,100%,100%,100%,--,100%,100%,--,--,100%,91%
15-02: E Himalaya,4238,--,--,100%,100%,100%,100%,100%,--,100%,100%,--,--,100%,97%
15-03: Hengduan Shan,4353,--,--,100%,100%,100%,100%,100%,--,100%,100%,--,--,100%,94%
