RGI region,# total,ALASKA,ARCTICDEM,ASTER,AW3D30,COPDEM30,COPDEM90,DEM3,GIMP,MAPZEN,NASADEM,RAMP,REMA,SRTM,TANDEM
03-01: N Ellesmere Island,2049,--,99%,96%,44%,99%,99%,98%,15%,100%,--,--,--,--,100%
03-02: Axel Heiberg and Meighen Is,627,--,100%,100%,63%,100%,100%,100%,--,100%,--,--,--,--,100%
03-03: NC Ellesmere Island,880,--,100%,100%,96%,100%,100%,99%,41%,100%,--,--,--,--,100%
03-04: SC Ellesmere Island,241,--,100%,100%,72%,100%,100%,100%,8%,100%,--,--,--,--,100%
03-05: S Ellesmere Island (NW Devon),536,--,100%,100%,74%,100%,100%,100%,--,100%,--,--,--,--,100%
03-06: Devon Island,216,--,100%,100%,62%,100%,100%,100%,--,100%,--,--,--,--,100%
03-07: Melville Island,7,--,100%,100%,57%,100%,100%,100%,--,100%,--,--,--,--,100%
