RGI region,# total,ALASKA,ARCTICDEM,ASTER,AW3D30,COPDEM30,COPDEM90,DEM3,GIMP,MAPZEN,NASADEM,RAMP,REMA,SRTM,TANDEM
13-01: Hissar Alay,3151,--,--,100%,100%,100%,100%,100%,--,100%,100%,--,--,100%,98%
13-02: Pamir (Safed Khirs/W Tarim),10233,--,--,100%,100%,100%,100%,100%,--,100%,100%,--,--,100%,98%
13-03: W Tien Shan,9739,--,--,100%,100%,100%,100%,100%,--,100%,100%,--,--,100%,97%
13-04: E Tien Shan (Dzhungaria),5227,--,--,100%,100%,100%,100%,100%,--,100%,100%,--,--,100%,99%
13-05: W Kun Lun,5397,--,--,100%,100%,100%,100%,100%,--,100%,100%,--,--,100%,99%
13-06: E Kun Lun (Altyn Tagh),3519,--,--,100%,100%,100%,100%,100%,--,100%,100%,--,--,100%,100%
13-07: Qilian Shan,2730,--,--,100%,100%,100%,100%,100%,--,100%,100%,--,--,100%,100%
13-08: Inner Tibet,9368,--,--,100%,100%,100%,100%,100%,--,100%,100%,--,--,100%,100%
13-09: S and E Tibet,5065,--,--,100%,100%,100%,100%,100%,--,100%,100%,--,--,100%,96%
