RGI region,# total,ALASKA,ARCTICDEM,ASTER,AW3D30,COPDEM,DEM3,GIMP,MAPZEN,NASADEM,RAMP,REMA,SRTM,TANDEM
11-01: Alps,3892,--,--,100%,100%,100%,100%,--,100%,100%,--,--,100%,93%
11-02: Southern and Eastern Europe,35,--,--,100%,100%,100%,100%,--,100%,100%,--,--,100%,100%
