RGI region,# total,ARCTICDEM,ASTER,AW3D30,DEM3,GIMP,MAPZEN,RAMP,REMA,SRTM,TANDEM
07-01: Svalbard,1567,99%,100%,33%,100%,--,100%,--,--,--,99%
07-02: Jan Mayen,48,100%,100%,--,100%,--,100%,--,--,--,100%
